J0    = 0.09515485
J1    = 0.06540111
J2    = 0.05022431
J3    = 0.0481037
J4    = 0.04423981
J5    = 0.041544 
J6    = 0.03794464
J7    = 0.0350275
J8    = 0.03218568
J9    = 0.02948316
J10   = 0.02721307
J11   = 0.02483906
J12   = 0.02297909
J13   = 0.02094471
J14   = 0.01939063
J15   = 0.01767144
J16   = 0.01635576
J17   = 0.01491554
J18   = 0.01379209
J19   = 0.01259272
J20   = 0.01162801
J21   = 0.01063363
J22   = 0.009802038
J23   = 0.008980607
J24   = 0.008261774
J25   = 0.007585481
J26   = 0.006963632
J27   = 0.006407814
J28   = 0.005872953
J29   = 0.005413594
J30   = 0.00495662
J31   = 0.004574171
J32   = 0.004185684
J33   = 0.00386539
J34   = 0.003536399
J35   = 0.003266876
J36   = 0.002989214
J37   = 0.002761435
J38   = 0.002528087
J39   = 0.00233456
J40   = 0.002138288
J41   = 0.001974004
J42   = 0.0018099
J43   = 0.001670591
J44   = 0.001538174
J45   = 0.001431115
J46   = 0.001329943
J47   = 0.001243689
J48   = 0.001170039
J49   = 0.001106833
J50   = 0.001046708
J51   = 0.00100119
J52   = 0.0009531086
J53   = 0.0009165561
J54   = 0.0008789502
J55   = 0.0008499189
J56   = 0.0008191678
J57   = 0.0007967234
J58   = 0.0007700394
J59   = 0.0007529894
J60   = 0.0007263522
J61   = 0.0007160652
J62   = 0.0006896538
J63   = 0.0006842216
J64   = 0.0006602948
J65   = 0.00065601
J66   = 0.0006361473
J67   = 0.0006301484
J68   = 0.000614938
J69   = 0.0006077009
J70   = 0.0005960191
J71   = 0.0005888194
J72   = 0.0005796112
J73   = 0.0005727197
J74   = 0.0005647817
J75   = 0.0005580949
J76   = 0.0005515296
J77   = 0.0005450608
J78   = 0.0005398314
J79   = 0.000533598
J80   = 0.0005292524
J81   = 0.0005228374
J82   = 0.0005194183
J83   = 0.0005135157
J84   = 0.0005101158
J85   = 0.0005050013
J86   = 0.0005013626
J87   = 0.0004969015
