J0    = 0.0485504
J1    = 0.03203419
J2    = 0.02152324
J3    = 0.01614784
J4    = 0.01185157
J5    = 0.009386348
J6    = 0.007910626
J7    = 0.006513247
J8    = 0.006115208
J9    = 0.005401216
J10   = 0.005212234
J11   = 0.004775501
J12   = 0.004647649
J13   = 0.004298618
J14   = 0.004188115
J15   = 0.003875711
J16   = 0.003777726
J17   = 0.003512515
J18   = 0.003428874
J19   = 0.003181938
J20   = 0.00310949
J21   = 0.002892087
J22   = 0.002835345
J23   = 0.00264997
J24   = 0.002613343
J25   = 0.002469262
J26   = 0.002429613
J27   = 0.002319709
J28   = 0.002279619
J29   = 0.002201841
J30   = 0.002166844
J31   = 0.002109212
J32   = 0.002080119
J33   = 0.002034303
J34   = 0.002010443
J35   = 0.001969983
J36   = 0.001952859
J37   = 0.001915287
J38   = 0.001902657
J39   = 0.001865291
J40   = 0.001860248
J41   = 0.001826321
J42   = 0.001819301
J43   = 0.001789454
J44   = 0.001778922
J45   = 0.001755103
J46   = 0.00174435
J47   = 0.001721638
J48   = 0.001711329
J49   = 0.001689422
J50   = 0.001678739
J51   = 0.001659579
J52   = 0.001646109
J53   = 0.001629379
J54   = 0.001615519
J55   = 0.001598958
J56   = 0.001584811
J57   = 0.001568432
J58   = 0.001554364
J59   = 0.0015379
J60   = 0.001524556
J61   = 0.001508054
J62   = 0.001494824
J63   = 0.001478655
J64   = 0.001465237
J65   = 0.001449751
J66   = 0.001436136
J67   = 0.001421127
J68   = 0.001407492
J69   = 0.001393277
J70   = 0.001380076
J71   = 0.001366848
J72   = 0.001353929
J73   = 0.001340828
J74   = 0.00132799
J75   = 0.001315019
J76   = 0.001302288
J77   = 0.001289463
J78   = 0.001276858
J79   = 0.001264194
J80   = 0.001251731
J81   = 0.00123924
J82   = 0.001226935
J83   = 0.001214624
J84   = 0.001202489
J85   = 0.001190367
J86   = 0.001178411
J87   = 0.001166508
J88   = 0.00115512
J89   = 0.001143505
J90   = 0.001132272
J91   = 0.001120867
J92   = 0.001110142
J93   = 0.001099561
J94   = 0.001089392
J95   = 0.001079001
J96   = 0.001068971
J97   = 0.001058771
J98   = 0.001048899
J99   = 0.001039105
J100  = 0.001029553
J101  = 0.001019939
J102  = 0.001010542
J103  = 0.001001108
J104  = 0.0009918698
J105  = 0.0009826151
J106  = 0.0009735383
J107  = 0.0009644876
