J0    = 1.305021 
J1    = 0.9819797
J2    = 0.8292881
J3    = 0.7587461
J4    = 0.7076459
J5    = 0.6737984
J6    = 0.6373377
J7    = 0.6085072
J8    = 0.575826 
J9    = 0.5492366
J10   = 0.5195007
J11   = 0.49513  
J12   = 0.4682506
J13   = 0.4460829
J14   = 0.4218823
J15   = 0.401797 
J16   = 0.38004  
J17   = 0.361877 
J18   = 0.3423221
J19   = 0.3259159
J20   = 0.3083363
J21   = 0.293529 
J22   = 0.2777187
J23   = 0.2643634
J24   = 0.2501373
J25   = 0.2380992
J26   = 0.225292 
J27   = 0.2144479
J28   = 0.2029119
J29   = 0.1931492
J30   = 0.1827526
J31   = 0.173969 
J32   = 0.164594 
J33   = 0.1566964
J34   = 0.1482378
J35   = 0.1411415
J36   = 0.1335052
J37   = 0.1271334
J38   = 0.1202352
J39   = 0.1145181
J40   = 0.1082828
J41   = 0.1031571
J42   = 0.09751725
J43   = 0.09292569
J44   = 0.08782083
J45   = 0.08371148
J46   = 0.07908748
J47   = 0.07541332
J48   = 0.07122165
J49   = 0.06794015
J50   = 0.06413728
J51   = 0.06120997
J52   = 0.05775684
J53   = 0.05514891
J54   = 0.05201049
J55   = 0.04969049
J56   = 0.04683533
J57   = 0.04477484
J58   = 0.04217469
J59   = 0.04034802
J60   = 0.03797753
J61   = 0.03636149
J62   = 0.03419789
J63   = 0.03277152
J64   = 0.03079436
J65   = 0.02953875
J66   = 0.02772964
J67   = 0.02662772
J68   = 0.02497016
J69   = 0.02400652
J70   = 0.02248566
J71   = 0.02164638
J72   = 0.0202489
J73   = 0.01952143
J74   = 0.01823536
J75   = 0.01760836
J76   = 0.01642294
J77   = 0.01588619
J78   = 0.01479175
J79   = 0.01433602
J80   = 0.01332388
J81   = 0.01294084
J82   = 0.0120032
J83   = 0.01168533
J84   = 0.01081521
J85   = 0.0105557
J86   = 0.009746829
J87   = 0.009539535
J88   = 0.008786298
J89   = 0.008625663
J90   = 0.00792303
J91   = 0.00780402
J92   = 0.007147499
J93   = 0.007065549
J94   = 0.00645113
J95   = 0.006402094
J96   = 0.005826209
J97   = 0.005806312
J98   = 0.005265794
J99   = 0.001376985
J100  = 0.001376487
J101  = 0.001376333
J102  = 0.001374214
J103  = 0.001358966
J104  = 0.001356327
J105  = 0.001341832
J106  = 0.00133873
J107  = 0.001324925
J108  = 0.001321413
J109  = 0.001308241
J110  = 0.001304368
J111  = 0.001291777
J112  = 0.001287586
J113  = 0.00127553
J114  = 0.00127106
J115  = 0.001259496
J116  = 0.001254783
J117  = 0.001243672
J118  = 0.001238749
J119  = 0.001228057
J120  = 0.001222953
J121  = 0.001212648
J122  = 0.001207389
J123  = 0.001197443
J124  = 0.001192053
J125  = 0.00118244
J126  = 0.00117694
J127  = 0.001167637
J128  = 0.001162046
J129  = 0.001153031
J130  = 0.001147368
J131  = 0.001138622
J132  = 0.001132901
J133  = 0.001124406
J134  = 0.001118643
J135  = 0.001110383
J136  = 0.00110459
J137  = 0.00109655
J138  = 0.001090738
J139  = 0.001082905
J140  = 0.001077085
J141  = 0.001069448
J142  = 0.001063628
J143  = 0.001056176
J144  = 0.001050365
J145  = 0.001043086
J146  = 0.001037291
J147  = 0.001030179
J148  = 0.001024406
J149  = 0.00101745
J150  = 0.001011706
J151  = 0.0010049
Return: J is lower than epsilon.
Total time used: 5.510000000000001
