J0    = 1.72482  
J1    = 1.49816  
J2    = 1.367692 
J3    = 1.291838 
J4    = 1.221269 
J5    = 1.163942 
J6    = 1.103621 
J7    = 1.051179 
J8    = 0.9962005
J9    = 0.9480656
J10   = 0.8981452
J11   = 0.854351 
J12   = 0.8092773
J13   = 0.7696197
J14   = 0.72903  
J15   = 0.6931936
J16   = 0.656677 
J17   = 0.6243256
J18   = 0.5914804
J19   = 0.5622917
J20   = 0.5327461
J21   = 0.5064216
J22   = 0.4798383
J23   = 0.4561053
J24   = 0.4321809
J25   = 0.4107914
J26   = 0.3892536
J27   = 0.3699826
J28   = 0.3505875
J29   = 0.3332308
J30   = 0.3157598
J31   = 0.3001327
J32   = 0.2843897
J33   = 0.2703247
J34   = 0.2561341
J35   = 0.2434796
J36   = 0.230684 
J37   = 0.2193029
J38   = 0.207761 
J39   = 0.1975291
J40   = 0.1871142
J41   = 0.1779194
J42   = 0.1685178
J43   = 0.1602587
J44   = 0.1517683
J45   = 0.1443531
J46   = 0.1366822
J47   = 0.1300283
J48   = 0.1230946
J49   = 0.117127 
J50   = 0.1108566
J51   = 0.1055079
J52   = 0.09983427
J53   = 0.09504346
J54   = 0.08990696
J55   = 0.08561898
J56   = 0.08096594
J57   = 0.07713112
J58   = 0.07291332
J59   = 0.06948681
J60   = 0.06566089
J61   = 0.06260225
J62   = 0.05912922
J63   = 0.05640197
J64   = 0.05324678
J65   = 0.05081799
J66   = 0.04794912
J67   = 0.04578911
J68   = 0.04317821
J69   = 0.04126019
J70   = 0.03888177
J71   = 0.0371816
J72   = 0.03501273
J73   = 0.03350862
J74   = 0.03152867
J75   = 0.030201 
J76   = 0.02839142
J77   = 0.02722248
J78   = 0.02556659
J79   = 0.02454041
J80   = 0.02302319
J81   = 0.02212539
J82   = 0.02073334
J83   = 0.01995095
J84   = 0.01867193
J85   = 0.01799323
J86   = 0.01681633
J87   = 0.01623077
J88   = 0.01514618
J89   = 0.01464425
J90   = 0.01364314
J91   = 0.01321626
J92   = 0.0122907
J93   = 0.01193113
J94   = 0.011074 
J95   = 0.01077475
J96   = 0.009979665
J97   = 0.00973441
J98   = 0.008995645
J99   = 0.008798687
J100  = 0.008111102
J101  = 0.007957283
J102  = 0.007316281
J103  = 0.007200929
J104  = 0.006602404
J105  = 0.006521284
J106  = 0.005961569
J107  = 0.005910834
J108  = 0.00538667
J109  = 0.005362816
J110  = 0.004871308
J111  = 0.004871138
J112  = 0.004409728
J113  = 0.001309891
J114  = 0.001309418
J115  = 0.001309207
J116  = 0.001301231
J117  = 0.001292802
J118  = 0.001284918
J119  = 0.00127663
J120  = 0.001268838
J121  = 0.001260687
J122  = 0.001252987
J123  = 0.001244968
J124  = 0.001237362
J125  = 0.001229472
J126  = 0.001221958
J127  = 0.001214193
J128  = 0.001206773
J129  = 0.00119913
J130  = 0.001191802
J131  = 0.001184278
J132  = 0.001177042
J133  = 0.001169635
J134  = 0.001162492
J135  = 0.001155198
J136  = 0.001148147
J137  = 0.001140964
J138  = 0.001134005
J139  = 0.001126931
J140  = 0.001120063
J141  = 0.001113096
J142  = 0.001106319
J143  = 0.001099458
J144  = 0.001092771
J145  = 0.001086012
J146  = 0.001079415
J147  = 0.001072757
J148  = 0.00106625
J149  = 0.001059692
J150  = 0.001053273
J151  = 0.001046812
J152  = 0.001040482
J153  = 0.001034118
J154  = 0.001027874
J155  = 0.001021605
J156  = 0.001015448
J157  = 0.001009272
J158  = 0.001003202
J159  = 0.000997118
J160  = 0.0009911328
J161  = 0.0009851395
J162  = 0.0009792389
J163  = 0.0009733349
J164  = 0.0009675182
J165  = 0.0009617023
J166  = 0.0009559687
J167  = 0.0009502396
J168  = 0.0009445884
J169  = 0.0009389449
J170  = 0.0009333753
J171  = 0.0009278163
J172  = 0.0009223274
J173  = 0.0009168518
J174  = 0.0009114429
J175  = 0.0009060496
J176  = 0.0009007198
J177  = 0.0008954076
J178  = 0.0008901562
J179  = 0.0008849241
J180  = 0.0008797502
J181  = 0.0008745972
J182  = 0.0008695
J183  = 0.0008644251
J184  = 0.0008594038
J185  = 0.0008544059
J186  = 0.0008494596
J187  = 0.0008445378
J188  = 0.0008396657
J189  = 0.0008348189
J190  = 0.0008300202
J191  = 0.0008252476
J192  = 0.0008205214
J193  = 0.000815822
J194  = 0.0008111675
J195  = 0.0008065404
J196  = 0.0008019568
J197  = 0.0007974009
J198  = 0.0007928874
J199  = 0.000788402
J200  = 0.0007839577
J201  = 0.0007795418
J202  = 0.0007751659
J203  = 0.0007708186
J204  = 0.0007665104
J205  = 0.0007622308
J206  = 0.0007579893
J207  = 0.0007537766
J208  = 0.0007496011
J209  = 0.0007454544
J210  = 0.0007413441
J211  = 0.0007372625
J212  = 0.0007332166
J213  = 0.0007291993
J214  = 0.0007252169
J215  = 0.0007212631
J216  = 0.0007173435
J217  = 0.0007134524
J218  = 0.0007095947
J219  = 0.0007057655
J220  = 0.000701969
J221  = 0.0006982007
J222  = 0.0006944647
J223  = 0.0006907567
J224  = 0.0006870802
J225  = 0.0006834316
J226  = 0.000679814
J227  = 0.0006762241
J228  = 0.0006726646
J229  = 0.0006691326
J230  = 0.0006656304
J231  = 0.0006621555
J232  = 0.0006587099
J233  = 0.0006552913
J234  = 0.0006519015
J235  = 0.0006485385
J236  = 0.0006452039
J237  = 0.0006418956
J238  = 0.0006386154
J239  = 0.0006353612
J240  = 0.0006321346
J241  = 0.0006289338
J242  = 0.0006257601
J243  = 0.0006226119
J244  = 0.0006194904
J245  = 0.0006163941
J246  = 0.0006133241
J247  = 0.000610279
J248  = 0.0006072597
J249  = 0.0006042651
J250  = 0.0006012959
J251  = 0.0005983511
J252  = 0.0005954312
J253  = 0.0005925355
J254  = 0.0005896644
J255  = 0.000586817
J256  = 0.0005839939
J257  = 0.0005811942
J258  = 0.0005784184
J259  = 0.0005756658
J260  = 0.0005729367
J261  = 0.0005702304
J262  = 0.0005675473
J263  = 0.0005648868
J264  = 0.000562249
J265  = 0.0005596335
J266  = 0.0005570404
J267  = 0.0005544693
J268  = 0.0005519203
J269  = 0.0005493929
J270  = 0.0005468873
J271  = 0.0005444031
J272  = 0.0005419402
J273  = 0.0005394984
J274  = 0.0005370778
J275  = 0.0005346778
J276  = 0.0005322987
J277  = 0.00052994
J278  = 0.0005276018
J279  = 0.0005252837
J280  = 0.0005229858
J281  = 0.0005207077
J282  = 0.0005184495
J283  = 0.0005162108
J284  = 0.0005139917
J285  = 0.0005117919
J286  = 0.0005096113
J287  = 0.0005074497
J288  = 0.000505307
J289  = 0.000503183
J290  = 0.0005010777
J291  = 0.0004989908
J292  = 0.0004969222
J293  = 0.0004948718
J294  = 0.0004928394
J295  = 0.0004908249
J296  = 0.0004888282
J297  = 0.0004868491
J298  = 0.0004848874
J299  = 0.0004829431
J300  = 0.000481016
J301  = 0.0004791059
J302  = 0.0004772128
J303  = 0.0004753364
J304  = 0.0004734768
J305  = 0.0004716336
J306  = 0.0004698068
J307  = 0.0004679963
J308  = 0.0004662019
J309  = 0.0004644235
J310  = 0.000462661
J311  = 0.0004609142
J312  = 0.000459183
J313  = 0.0004574672
J314  = 0.0004557669
J315  = 0.0004540817
J316  = 0.0004524117
J317  = 0.0004507566
J318  = 0.0004491164
J319  = 0.0004474908
J320  = 0.0004458799
J321  = 0.0004442835
J322  = 0.0004427014
J323  = 0.0004411336
J324  = 0.0004395799
J325  = 0.0004380402
J326  = 0.0004365143
J327  = 0.0004350022
J328  = 0.0004335038
J329  = 0.0004320188
J330  = 0.0004305473
J331  = 0.0004290891
J332  = 0.0004276441
J333  = 0.0004262121
J334  = 0.000424793
J335  = 0.0004233868
J336  = 0.0004219933
J337  = 0.0004206125
J338  = 0.0004192441
J339  = 0.0004178881
J340  = 0.0004165445
J341  = 0.0004152129
J342  = 0.0004138935
J343  = 0.000412586
J344  = 0.0004112904
J345  = 0.0004100065
J346  = 0.0004087342
J347  = 0.0004074735
J348  = 0.0004062242
J349  = 0.0004049863
J350  = 0.0004037595
J351  = 0.0004025439
J352  = 0.0004013393
J353  = 0.0004001457
J354  = 0.0003989628
J355  = 0.0003977907
J356  = 0.0003966292
J357  = 0.0003954783
J358  = 0.0003943377
J359  = 0.0003932075
J360  = 0.0003920875
J361  = 0.0003909777
J362  = 0.0003898779
J363  = 0.0003887881
J364  = 0.0003877081
J365  = 0.0003866379
J366  = 0.0003855774
J367  = 0.0003845265
J368  = 0.000383485
J369  = 0.000382453
J370  = 0.0003814302
J371  = 0.0003804167
J372  = 0.0003794123
J373  = 0.000378417
J374  = 0.0003774307
J375  = 0.0003764532
J376  = 0.0003754845
J377  = 0.0003745245
J378  = 0.0003735731
J379  = 0.0003726303
J380  = 0.0003716959
J381  = 0.0003707699
J382  = 0.0003698522
J383  = 0.0003689427
J384  = 0.0003680413
J385  = 0.000367148
J386  = 0.0003662627
J387  = 0.0003653852
J388  = 0.0003645156
J389  = 0.0003636536
J390  = 0.0003627994
J391  = 0.0003619527
J392  = 0.0003611136
J393  = 0.0003602819
J394  = 0.0003594575
J395  = 0.0003586404
J396  = 0.0003578306
J397  = 0.0003570278
J398  = 0.0003562322
J399  = 0.0003554435
J400  = 0.0003546618
J401  = 0.0003538869
J402  = 0.0003531189
J403  = 0.0003523575
J404  = 0.0003516028
J405  = 0.0003508547
J406  = 0.000350113
J407  = 0.0003493779
J408  = 0.0003486491
J409  = 0.0003479266
J410  = 0.0003472104
J411  = 0.0003465004
J412  = 0.0003457965
J413  = 0.0003450987
J414  = 0.0003444068
J415  = 0.0003437209
J416  = 0.0003430409
J417  = 0.0003423667
J418  = 0.0003416983
J419  = 0.0003410355
J420  = 0.0003403784
J421  = 0.0003397268
J422  = 0.0003390808
J423  = 0.0003384402
J424  = 0.0003378051
J425  = 0.0003371753
J426  = 0.0003365508
J427  = 0.0003359315
J428  = 0.0003353174
J429  = 0.0003347084
J430  = 0.0003341045
J431  = 0.0003335056
J432  = 0.0003329117
J433  = 0.0003323227
J434  = 0.0003317385
J435  = 0.0003311592
J436  = 0.0003305846
J437  = 0.0003300148
J438  = 0.0003294496
J439  = 0.000328889
J440  = 0.0003283329
J441  = 0.0003277814
J442  = 0.0003272344
J443  = 0.0003266917
J444  = 0.0003261534
J445  = 0.0003256195
J446  = 0.0003250898
J447  = 0.0003245644
J448  = 0.0003240431
J449  = 0.000323526
J450  = 0.000323013
J451  = 0.000322504
J452  = 0.0003219991
J453  = 0.0003214981
J454  = 0.000321001
J455  = 0.0003205078
J456  = 0.0003200184
J457  = 0.0003195329
J458  = 0.0003190511
J459  = 0.000318573
J460  = 0.0003180986
J461  = 0.0003176279
J462  = 0.0003171607
J463  = 0.0003166971
J464  = 0.000316237
J465  = 0.0003157804
J466  = 0.0003153272
J467  = 0.0003148775
J468  = 0.0003144311
J469  = 0.000313988
J470  = 0.0003135483
J471  = 0.0003131118
J472  = 0.0003126786
J473  = 0.0003122485
J474  = 0.0003118216
J475  = 0.0003113978
J476  = 0.0003109771
J477  = 0.0003105595
J478  = 0.0003101449
J479  = 0.0003097332
J480  = 0.0003093246
J481  = 0.0003089188
J482  = 0.000308516
J483  = 0.000308116
J484  = 0.0003077189
J485  = 0.0003073245
J486  = 0.000306933
J487  = 0.0003065441
J488  = 0.000306158
J489  = 0.0003057746
J490  = 0.0003053938
J491  = 0.0003050156
J492  = 0.0003046401
J493  = 0.0003042671
J494  = 0.0003038966
J495  = 0.0003035287
J496  = 0.0003031633
J497  = 0.0003028003
J498  = 0.0003024397
J499  = 0.0003020816
J500  = 0.0003017258
J501  = 0.0003013724
J502  = 0.0003010213
J503  = 0.0003006725
J504  = 0.000300326
J505  = 0.0002999818
J506  = 0.0002996398
J507  = 0.0002993
J508  = 0.0002989624
J509  = 0.0002986269
J510  = 0.0002982936
J511  = 0.0002979624
J512  = 0.0002976333
J513  = 0.0002973062
J514  = 0.0002969812
J515  = 0.0002966582
J516  = 0.0002963373
J517  = 0.0002960183
J518  = 0.0002957013
J519  = 0.0002953862
J520  = 0.000295073
J521  = 0.0002947618
J522  = 0.0002944524
J523  = 0.0002941448
J524  = 0.0002938392
J525  = 0.0002935353
J526  = 0.0002932332
J527  = 0.000292933
J528  = 0.0002926344
J529  = 0.0002923377
J530  = 0.0002920426
J531  = 0.0002917493
J532  = 0.0002914576
J533  = 0.0002911677
J534  = 0.0002908794
J535  = 0.0002905927
J536  = 0.0002903076
J537  = 0.0002900242
J538  = 0.0002897423
J539  = 0.000289462
J540  = 0.0002891833
J541  = 0.0002889061
J542  = 0.0002886304
J543  = 0.0002883562
J544  = 0.0002880835
J545  = 0.0002878123
J546  = 0.0002875426
J547  = 0.0002872743
J548  = 0.0002870074
J549  = 0.0002867419
J550  = 0.0002864779
J551  = 0.0002862152
J552  = 0.0002859539
J553  = 0.000285694
J554  = 0.0002854354
J555  = 0.0002851782
J556  = 0.0002849222
J557  = 0.0002846676
J558  = 0.0002844142
J559  = 0.0002841622
J560  = 0.0002839114
J561  = 0.0002836618
J562  = 0.0002834135
J563  = 0.0002831665
J564  = 0.0002829206
J565  = 0.000282676
J566  = 0.0002824325
J567  = 0.0002821902
J568  = 0.0002819491
J569  = 0.0002817091
J570  = 0.0002814703
J571  = 0.0002812327
J572  = 0.0002809961
J573  = 0.0002807607
