J0    = 0.7976491
J1    = 0.4267537
J2    = 0.2462963
J3    = 0.1287445
J4    = 0.1105452
J5    = 0.06202278
J6    = 0.03468718
J7    = 0.02673016
J8    = 0.02332898
J9    = 0.02090348
J10   = 0.01804217
J11   = 0.01531532
J12   = 0.01438993
J13   = 0.01276436
J14   = 0.01044855
J15   = 0.007578989
J16   = 0.006223498
J17   = 0.004639081
J18   = 0.004578808
J19   = 0.003849471
J20   = 0.003277968
J21   = 0.002456265
J22   = 0.001859788
J23   = 0.001534643
J24   = 0.001500292
J25   = 0.001138513
J26   = 0.0008816901
J27   = 0.0008056482
J28   = 0.0007049926
J29   = 0.0006622653
J30   = 0.0006016652
J31   = 0.0005260175
J32   = 0.0004255835
J33   = 0.0003958844
J34   = 0.0003777224
J35   = 0.0003664633
J36   = 0.000317856
J37   = 0.0002728745
J38   = 0.0002232043
J39   = 0.0002187031
J40   = 0.0001921682
J41   = 0.0001431382
J42   = 0.0001170178
J43   = 0.000106729
J44   = 7.531612e-05
Total time used: 4.991704214768841
