J0    = 486.4754 
J1    = 40.47909 
J2    = 7.975094 
J3    = 7.425625 
J4    = 7.421764 
J5    = 7.409062 
J6    = 7.395273 
J7    = 7.381417 
J8    = 7.367578 
J9    = 7.353765 
J10   = 7.339978 
J11   = 7.326216 
J12   = 7.31248  
J13   = 7.29877  
J14   = 7.285086 
J15   = 7.271427 
J16   = 7.257794 
J17   = 7.244187 
J18   = 7.230605 
J19   = 7.217049 
J20   = 7.203518 
J21   = 7.190012 
J22   = 7.176531 
J23   = 7.163076 
J24   = 7.149646 
J25   = 7.136242 
J26   = 7.122862 
J27   = 7.109508 
J28   = 7.096178 
J29   = 7.082874 
J30   = 7.069594 
J31   = 7.05634  
J32   = 7.04311  
J33   = 7.029905 
J34   = 7.016725 
J35   = 7.003569 
J36   = 6.990438 
J37   = 6.977332 
J38   = 6.964251 
J39   = 6.951193 
J40   = 6.938161 
J41   = 6.925153 
J42   = 6.912169 
J43   = 6.899209 
J44   = 6.886274 
J45   = 6.873363 
J46   = 6.860477 
J47   = 6.847614 
J48   = 6.834776 
J49   = 6.821961 
J50   = 6.809171 
J51   = 6.796404 
J52   = 6.783662 
J53   = 6.770943 
J54   = 6.758249 
J55   = 6.745578 
J56   = 6.732931 
J57   = 6.720307 
J58   = 6.707707 
J59   = 6.695131 
J60   = 6.682579 
J61   = 6.67005  
J62   = 6.657544 
J63   = 6.645062 
J64   = 6.632603 
J65   = 6.620168 
J66   = 6.607756 
J67   = 6.595367 
J68   = 6.583002 
J69   = 6.570659 
J70   = 6.55834  
J71   = 6.546044 
J72   = 6.533771 
J73   = 6.521521 
J74   = 6.509294 
J75   = 6.49709  
J76   = 6.484908 
J77   = 6.47275  
J78   = 6.460614 
J79   = 6.448501 
J80   = 6.436411 
J81   = 6.424344 
J82   = 6.412299 
J83   = 6.400276 
J84   = 6.388277 
J85   = 6.376299 
J86   = 6.364345 
J87   = 6.352412 
J88   = 6.340502 
J89   = 6.328614 
J90   = 6.316749 
J91   = 6.304906 
J92   = 6.293085 
J93   = 6.281286 
J94   = 6.269509 
J95   = 6.257755 
J96   = 6.246022 
J97   = 6.234312 
J98   = 6.222623 
J99   = 6.210956 
Return: max iterations.
Total time used: 43.190000000000005
