J0    = 0.6487253
J1    = 0.1646979
J2    = 0.03326822
J3    = 0.0165713
J4    = 0.01631333
J5    = 0.01557594
J6    = 0.007522437
J7    = 0.007196939
J8    = 0.0063453
J9    = 0.004213787
J10   = 0.003334031
J11   = 0.002871229
J12   = 0.001959302
J13   = 0.001326515
J14   = 0.001101532
J15   = 0.0005057819
J16   = 0.0004446515
J17   = 0.0004361573
J18   = 0.0003863969
J19   = 0.0001912833
J20   = 0.0001912833
J21   = 0.0001822862
J22   = 0.0001426328
J23   = 0.0001154634
J24   = 0.0001140282
J25   = 0.0001052673
J26   = 9.588941e-05
J27   = 9.169133e-05
J28   = 8.309313e-05
J29   = 6.326093e-05
J30   = 5.391142e-05
J31   = 5.119343e-05
J32   = 4.697239e-05
J33   = 4.260533e-05
J34   = 3.915139e-05
J35   = 3.884593e-05
J36   = 3.824579e-05
J37   = 3.457112e-05
J38   = 3.272395e-05
J39   = 3.271144e-05
J40   = 3.212617e-05
J41   = 2.923348e-05
J42   = 2.913497e-05
J43   = 2.851852e-05
J44   = 2.816422e-05
J45   = 2.745346e-05
J46   = 2.718879e-05
J47   = 2.67442e-05
J48   = 2.658324e-05
J49   = 2.532768e-05
J50   = 2.192197e-05
J51   = 2.111839e-05
J52   = 2.052482e-05
J53   = 1.979898e-05
J54   = 1.941753e-05
J55   = 1.8542e-05
J56   = 1.848233e-05
J57   = 1.758254e-05
J58   = 1.755655e-05
J59   = 1.755655e-05
J60   = 1.755655e-05
J61   = 1.755655e-05
J62   = 1.755655e-05
J63   = 1.676654e-05
J64   = 1.609584e-05
J65   = 1.600477e-05
J66   = 1.600146e-05
J67   = 1.599507e-05
J68   = 1.597759e-05
J69   = 1.597759e-05
J70   = 1.597759e-05
J71   = 1.58893e-05
J72   = 1.466612e-05
J73   = 1.429263e-05
J74   = 1.406971e-05
J75   = 1.406971e-05
Return: alphak is too small.
Total time used: 107.64 
