J0    = 0.1008192
J1    = 0.06998909
J2    = 0.02752939
J3    = 0.01835206
J4    = 0.01301374
J5    = 0.00931516
J6    = 0.008008316
J7    = 0.006664245
J8    = 0.005244191
J9    = 0.004420375
J10   = 0.003845497
J11   = 0.003259422
J12   = 0.002923232
J13   = 0.002639217
J14   = 0.002310635
J15   = 0.002071203
J16   = 0.001918791
J17   = 0.001778913
J18   = 0.001576819
J19   = 0.001409929
J20   = 0.001329282
J21   = 0.001299467
J22   = 0.001269535
J23   = 0.001188681
J24   = 0.001029402
J25   = 0.0008021127
J26   = 0.000724041
J27   = 0.00071278
J28   = 0.0007085466
J29   = 0.0006983027
J30   = 0.0006667908
J31   = 0.0006009819
J32   = 0.0004771159
J33   = 0.0003906573
J34   = 0.0003740444
J35   = 0.0003715146
J36   = 0.0003708421
J37   = 0.0003687804
J38   = 0.0003653638
J39   = 0.0003556178
J40   = 0.0003286161
J41   = 0.0002712314
J42   = 0.000205415
J43   = 0.0001876928
J44   = 0.0001880092
J45   = 0.0001889906
J46   = 0.0001895134
J47   = 0.0001909597
J48   = 0.0001927981
J49   = 0.000191117
J50   = 0.0001754396
J51   = 0.0001360703
J52   = 8.310407e-05
Total time used: 7.66368335076362
