J0    = 0.7976491
J1    = 0.5751413
J2    = 0.5011807
J3    = 0.4553187
J4    = 0.4173863
J5    = 0.3835825
J6    = 0.3528368
J7    = 0.3247331
J8    = 0.2989439
J9    = 0.2752641
J10   = 0.2534902
J11   = 0.2334623
J12   = 0.2150375
J13   = 0.1980751
J14   = 0.1824709
J15   = 0.1680974
J16   = 0.1548779
J17   = 0.1426961
J18   = 0.1314958
J19   = 0.1211717
J20   = 0.1116826
J21   = 0.1029337
J22   = 0.09489541
J23   = 0.08748298
J24   = 0.08067511
J25   = 0.07439675
J26   = 0.0686328
J27   = 0.0633171
J28   = 0.05843908
J29   = 0.05394082
J30   = 0.04981493
J31   = 0.04601103
J32   = 0.04252394
J33   = 0.03931011
J34   = 0.0363658
J35   = 0.03365364
J36   = 0.03117075
J37   = 0.02888532
J38   = 0.02679486
J39   = 0.02487256
J40   = 0.02311599
J41   = 0.02150279
J42   = 0.02003036
J43   = 0.01868026
J44   = 0.01744953
J45   = 0.01632323
J46   = 0.01529794
J47   = 0.01436174
J48   = 0.01351068
J49   = 0.0127355
J50   = 0.01203174
J51   = 0.01139238
J52   = 0.01081252
J53   = 0.01028705
J54   = 0.009810711
J55   = 0.009380015
J56   = 0.008989479
J57   = 0.008636948
J58   = 0.008316871
J59   = 0.008028182
J60   = 0.007765406
J61   = 0.00752835
J62   = 0.007311738
J63   = 0.007116057
J64   = 0.006936327
J65   = 0.00677354
J66   = 0.006623077
J67   = 0.006486283
J68   = 0.006358936
J69   = 0.006242605
J70   = 0.006133471
J71   = 0.006033225
J72   = 0.005938445
J73   = 0.00585086
J74   = 0.005767422
J75   = 0.005689837
J76   = 0.005615407
J77   = 0.00554577
J78   = 0.005478548
J79   = 0.005415282
J80   = 0.005353882
J81   = 0.005295775
J82   = 0.005239131
J83   = 0.005185255
J84   = 0.005132546
J85   = 0.005082184
J86   = 0.005032774
J87   = 0.004985375
J88   = 0.004938771
J89   = 0.004893904
J90   = 0.004849719
J91   = 0.004807049
J92   = 0.004764978
J93   = 0.004724239
J94   = 0.004684039
J95   = 0.004645019
J96   = 0.004606494
J97   = 0.004569023
J98   = 0.004532013
J99   = 0.00449595
J100  = 0.004460322
J101  = 0.004425552
J102  = 0.004391197
J103  = 0.004357622
J104  = 0.004324446
J105  = 0.004291983
J106  = 0.004259906
J107  = 0.004228483
J108  = 0.004197434
J109  = 0.00416699
J110  = 0.004136909
J111  = 0.004107387
J112  = 0.004078219
J113  = 0.004049571
J114  = 0.004021266
J115  = 0.003993448
J116  = 0.003965963
J117  = 0.003938934
J118  = 0.003912229
J119  = 0.003885952
J120  = 0.003859991
J121  = 0.003834432
J122  = 0.003809179
J123  = 0.003784307
J124  = 0.003759733
J125  = 0.003735518
J126  = 0.003711593
J127  = 0.003688009
J128  = 0.003664706
J129  = 0.003641727
J130  = 0.00361902
J131  = 0.003596622
J132  = 0.003574488
J133  = 0.003552649
J134  = 0.003531065
J135  = 0.003509763
J136  = 0.003488709
J137  = 0.003467925
J138  = 0.003447381
J139  = 0.003427094
J140  = 0.003407041
J141  = 0.003387236
J142  = 0.003367656
J143  = 0.003348313
J144  = 0.00332919
J145  = 0.003310295
J146  = 0.003291612
J147  = 0.003273149
J148  = 0.003254891
J149  = 0.003236845
J150  = 0.003218999
J151  = 0.003201356
J152  = 0.003183907
J153  = 0.003166654
J154  = 0.003149589
J155  = 0.003132714
J156  = 0.00311602
J157  = 0.00309951
J158  = 0.003083176
J159  = 0.00306702
J160  = 0.003051035
J161  = 0.003035221
J162  = 0.003019573
J163  = 0.003004092
J164  = 0.002988771
J165  = 0.002973612
J166  = 0.002958609
J167  = 0.002943762
J168  = 0.002929066
J169  = 0.002914522
J170  = 0.002900125
J171  = 0.002885875
J172  = 0.002871769
J173  = 0.002857804
J174  = 0.002843979
J175  = 0.002830292
J176  = 0.002816741
J177  = 0.002803324
J178  = 0.002790038
J179  = 0.002776883
J180  = 0.002763856
J181  = 0.002750955
J182  = 0.00273818
J183  = 0.002725527
J184  = 0.002712996
J185  = 0.002700585
J186  = 0.002688291
J187  = 0.002676115
J188  = 0.002664053
J189  = 0.002652105
J190  = 0.002640269
J191  = 0.002628544
J192  = 0.002616928
J193  = 0.002605419
J194  = 0.002594017
J195  = 0.002582719
J196  = 0.002571526
J197  = 0.002560435
J198  = 0.002549444
J199  = 0.002538554
J200  = 0.002527762
J201  = 0.002517067
J202  = 0.002506469
J203  = 0.002495965
J204  = 0.002485555
J205  = 0.002475238
J206  = 0.002465012
J207  = 0.002454877
J208  = 0.002444831
J209  = 0.002434873
J210  = 0.002425003
J211  = 0.002415218
J212  = 0.002405519
J213  = 0.002395904
J214  = 0.002386373
J215  = 0.002376923
J216  = 0.002367555
J217  = 0.002358267
J218  = 0.002349059
J219  = 0.002339929
J220  = 0.002330877
J221  = 0.002321902
J222  = 0.002313002
J223  = 0.002304178
J224  = 0.002295428
J225  = 0.002286751
J226  = 0.002278147
J227  = 0.002269614
J228  = 0.002261153
J229  = 0.002252762
J230  = 0.00224444
J231  = 0.002236187
J232  = 0.002228002
J233  = 0.002219885
J234  = 0.002211833
J235  = 0.002203848
J236  = 0.002195928
J237  = 0.002188072
J238  = 0.00218028
J239  = 0.002172551
J240  = 0.002164884
J241  = 0.002157279
J242  = 0.002149735
J243  = 0.002142252
J244  = 0.002134829
J245  = 0.002127464
J246  = 0.002120159
J247  = 0.002112911
J248  = 0.002105721
J249  = 0.002098588
J250  = 0.00209151
J251  = 0.002084489
J252  = 0.002077523
J253  = 0.002070611
J254  = 0.002063753
J255  = 0.002056949
J256  = 0.002050198
J257  = 0.002043499
J258  = 0.002036852
J259  = 0.002030256
J260  = 0.002023711
J261  = 0.002017217
J262  = 0.002010772
J263  = 0.002004377
J264  = 0.00199803
J265  = 0.001991732
J266  = 0.001985482
J267  = 0.00197928
J268  = 0.001973124
J269  = 0.001967015
J270  = 0.001960952
J271  = 0.001954934
J272  = 0.001948962
J273  = 0.001943034
J274  = 0.001937151
J275  = 0.001931312
J276  = 0.001925516
J277  = 0.001919763
J278  = 0.001914053
J279  = 0.001908385
J280  = 0.001902759
J281  = 0.001897174
J282  = 0.00189163
J283  = 0.001886127
J284  = 0.001880664
J285  = 0.001875241
J286  = 0.001869858
J287  = 0.001864513
J288  = 0.001859208
J289  = 0.001853941
J290  = 0.001848711
J291  = 0.00184352
J292  = 0.001838365
J293  = 0.001833248
J294  = 0.001828167
J295  = 0.001823123
J296  = 0.001818114
J297  = 0.001813141
J298  = 0.001808203
J299  = 0.0018033
J300  = 0.001798432
J301  = 0.001793598
J302  = 0.001788798
J303  = 0.001784032
J304  = 0.001779299
J305  = 0.001774598
J306  = 0.001769931
J307  = 0.001765296
J308  = 0.001760693
J309  = 0.001756122
J310  = 0.001751582
J311  = 0.001747074
J312  = 0.001742597
J313  = 0.00173815
J314  = 0.001733733
J315  = 0.001729347
J316  = 0.00172499
J317  = 0.001720663
J318  = 0.001716365
J319  = 0.001712097
J320  = 0.001707856
J321  = 0.001703645
J322  = 0.001699461
J323  = 0.001695306
J324  = 0.001691178
J325  = 0.001687078
J326  = 0.001683004
J327  = 0.001678958
J328  = 0.001674938
J329  = 0.001670945
J330  = 0.001666978
J331  = 0.001663037
J332  = 0.001659122
J333  = 0.001655232
J334  = 0.001651367
J335  = 0.001647527
J336  = 0.001643713
J337  = 0.001639922
J338  = 0.001636156
J339  = 0.001632415
J340  = 0.001628697
J341  = 0.001625003
J342  = 0.001621332
J343  = 0.001617684
J344  = 0.00161406
J345  = 0.001610458
J346  = 0.001606879
J347  = 0.001603323
J348  = 0.001599788
J349  = 0.001596276
J350  = 0.001592786
J351  = 0.001589317
J352  = 0.001585869
J353  = 0.001582443
J354  = 0.001579038
J355  = 0.001575654
J356  = 0.00157229
J357  = 0.001568947
J358  = 0.001565624
J359  = 0.001562322
J360  = 0.001559039
J361  = 0.001555776
J362  = 0.001552532
J363  = 0.001549308
J364  = 0.001546103
J365  = 0.001542918
J366  = 0.001539751
J367  = 0.001536603
J368  = 0.001533473
J369  = 0.001530362
J370  = 0.001527269
J371  = 0.001524194
J372  = 0.001521137
J373  = 0.001518098
J374  = 0.001515076
J375  = 0.001512072
J376  = 0.001509085
J377  = 0.001506115
J378  = 0.001503162
J379  = 0.001500226
J380  = 0.001497306
J381  = 0.001494403
J382  = 0.001491517
J383  = 0.001488646
J384  = 0.001485792
J385  = 0.001482954
J386  = 0.001480131
J387  = 0.001477324
J388  = 0.001474533
J389  = 0.001471757
J390  = 0.001468996
J391  = 0.001466251
J392  = 0.00146352
J393  = 0.001460805
J394  = 0.001458104
J395  = 0.001455417
J396  = 0.001452745
J397  = 0.001450088
J398  = 0.001447444
J399  = 0.001444815
J400  = 0.001442199
J401  = 0.001439598
J402  = 0.00143701
J403  = 0.001434436
J404  = 0.001431875
J405  = 0.001429328
J406  = 0.001426794
J407  = 0.001424273
J408  = 0.001421765
J409  = 0.00141927
J410  = 0.001416788
J411  = 0.001414319
J412  = 0.001411862
J413  = 0.001409417
J414  = 0.001406985
J415  = 0.001404565
J416  = 0.001402158
J417  = 0.001399762
J418  = 0.001397379
J419  = 0.001395007
J420  = 0.001392647
J421  = 0.001390298
J422  = 0.001387962
J423  = 0.001385636
J424  = 0.001383322
J425  = 0.001381019
J426  = 0.001378728
J427  = 0.001376447
J428  = 0.001374178
J429  = 0.001371919
J430  = 0.001369671
J431  = 0.001367434
J432  = 0.001365207
J433  = 0.001362991
J434  = 0.001360785
J435  = 0.00135859
J436  = 0.001356405
J437  = 0.00135423
J438  = 0.001352065
J439  = 0.001349911
J440  = 0.001347766
J441  = 0.001345631
J442  = 0.001343505
J443  = 0.00134139
J444  = 0.001339284
J445  = 0.001337187
J446  = 0.0013351
J447  = 0.001333023
J448  = 0.001330954
J449  = 0.001328895
J450  = 0.001326845
J451  = 0.001324804
J452  = 0.001322772
J453  = 0.001320749
J454  = 0.001318734
J455  = 0.001316729
J456  = 0.001314732
J457  = 0.001312744
J458  = 0.001310764
J459  = 0.001308793
J460  = 0.00130683
J461  = 0.001304876
J462  = 0.00130293
J463  = 0.001300992
J464  = 0.001299062
J465  = 0.00129714
J466  = 0.001295227
J467  = 0.001293321
J468  = 0.001291423
J469  = 0.001289533
J470  = 0.001287651
J471  = 0.001285777
J472  = 0.00128391
J473  = 0.001282051
J474  = 0.001280199
J475  = 0.001278355
J476  = 0.001276518
J477  = 0.001274688
J478  = 0.001272866
J479  = 0.001271051
J480  = 0.001269244
J481  = 0.001267443
J482  = 0.001265649
J483  = 0.001263863
J484  = 0.001262083
J485  = 0.001260311
J486  = 0.001258545
J487  = 0.001256786
J488  = 0.001255034
J489  = 0.001253288
J490  = 0.001251549
J491  = 0.001249817
J492  = 0.001248091
J493  = 0.001246372
J494  = 0.001244659
J495  = 0.001242953
J496  = 0.001241253
J497  = 0.001239559
J498  = 0.001237872
J499  = 0.001236191
Total time used: 35.582151070046635
