J0    = 1.72482  
J1    = 1.266441 
J2    = 0.7532771
J3    = 0.2824931
J4    = 0.08359852
J5    = 0.03212115
J6    = 0.02646932
J7    = 0.01769587
J8    = 0.01318062
J9    = 0.01213895
J10   = 0.005482716
J11   = 0.003797017
J12   = 0.003203639
J13   = 0.003111646
J14   = 0.002096694
J15   = 0.001875551
J16   = 0.001792605
J17   = 0.001432664
J18   = 0.001110355
J19   = 0.001110355
J20   = 0.0006657436
J21   = 0.0006648997
J22   = 0.0006180261
J23   = 0.0005874825
J24   = 0.0004458758
J25   = 0.0004418346
J26   = 0.000441814
J27   = 0.0004293586
J28   = 0.000416151
J29   = 0.0004159355
J30   = 0.0004159355
J31   = 0.0004157874
J32   = 0.0004089305
J33   = 0.0003683301
J34   = 0.0003682787
J35   = 0.0003682787
J36   = 0.0003682787
J37   = 0.0003682787
J38   = 0.0003682427
J39   = 0.0003652395
J40   = 0.0003652395
J41   = 0.0003652395
J42   = 0.0003652395
J43   = 0.0003608515
J44   = 0.0003330098
J45   = 0.0002991511
J46   = 0.0002581032
J47   = 0.0002534841
J48   = 0.000252282
J49   = 0.000252282
J50   = 0.000252282
J51   = 0.000252282
J52   = 0.0002514916
J53   = 0.0002400952
J54   = 0.000230685
J55   = 0.000204455
J56   = 0.0001946063
J57   = 0.0001935794
J58   = 0.000190481
J59   = 0.0001864328
J60   = 0.0001806512
J61   = 0.0001779921
J62   = 0.0001779911
J63   = 0.0001779911
J64   = 0.0001779911
J65   = 0.0001779911
J66   = 0.0001779911
J67   = 0.0001671341
J68   = 0.0001401288
J69   = 0.0001295852
J70   = 0.0001228608
J71   = 0.0001224564
J72   = 0.0001219022
J73   = 0.0001193271
J74   = 0.0001054519
J75   = 8.916708e-05
Return: J is lower than epsilon.
Total time used: 105.49 
