J0    = 0.02792211
J1    = 0.02787401
J2    = 0.02782605
J3    = 0.02777819
J4    = 0.02773043
J5    = 0.02768277
J6    = 0.02763521
J7    = 0.02758774
J8    = 0.02754038
J9    = 0.02749311
J10   = 0.02744593
J11   = 0.02739886
J12   = 0.02735188
J13   = 0.02730499
J14   = 0.02725821
J15   = 0.02721152
J16   = 0.02716492
J17   = 0.02711843
J18   = 0.02707202
J19   = 0.02702572
J20   = 0.02697951
J21   = 0.02693339
J22   = 0.02688737
J23   = 0.02684144
J24   = 0.02679561
J25   = 0.02674987
J26   = 0.02670423
J27   = 0.02665868
J28   = 0.02661323
J29   = 0.02656787
J30   = 0.0265226
J31   = 0.02647743
J32   = 0.02643235
J33   = 0.02638737
J34   = 0.02634247
J35   = 0.02629767
J36   = 0.02625297
J37   = 0.02620835
J38   = 0.02616383
J39   = 0.0261194
J40   = 0.02607506
J41   = 0.02603082
J42   = 0.02598666
J43   = 0.0259426
J44   = 0.02589863
J45   = 0.02585475
J46   = 0.02581096
J47   = 0.02576726
J48   = 0.02572366
J49   = 0.02568014
J50   = 0.02563672
J51   = 0.02559338
J52   = 0.02555014
J53   = 0.02550698
J54   = 0.02546392
J55   = 0.02542095
J56   = 0.02537806
J57   = 0.02533526
J58   = 0.02529256
J59   = 0.02524994
J60   = 0.02520741
J61   = 0.02516497
J62   = 0.02512262
J63   = 0.02508036
J64   = 0.02503819
J65   = 0.0249961
J66   = 0.0249541
J67   = 0.02491219
J68   = 0.02487037
J69   = 0.02482864
J70   = 0.02478699
J71   = 0.02474543
J72   = 0.02470396
J73   = 0.02466257
J74   = 0.02462127
J75   = 0.02458006
J76   = 0.02453894
J77   = 0.0244979
J78   = 0.02445694
J79   = 0.02441608
J80   = 0.0243753
J81   = 0.0243346
J82   = 0.02429399
J83   = 0.02425347
J84   = 0.02421303
J85   = 0.02417268
J86   = 0.02413241
J87   = 0.02409222
J88   = 0.02405212
J89   = 0.02401211
J90   = 0.02397218
J91   = 0.02393233
J92   = 0.02389257
J93   = 0.0238529
J94   = 0.0238133
J95   = 0.02377379
J96   = 0.02373437
J97   = 0.02369502
J98   = 0.02365577
J99   = 0.02361659
J100  = 0.0235775
J101  = 0.02353849
J102  = 0.02349956
J103  = 0.02346071
J104  = 0.02342195
J105  = 0.02338327
J106  = 0.02334467
J107  = 0.02330615
J108  = 0.02326772
J109  = 0.02322937
J110  = 0.0231911
J111  = 0.02315291
J112  = 0.0231148
J113  = 0.02307677
J114  = 0.02303882
J115  = 0.02300096
J116  = 0.02296317
J117  = 0.02292547
J118  = 0.02288785
J119  = 0.0228503
J120  = 0.02281284
J121  = 0.02277546
J122  = 0.02273815
J123  = 0.02270093
J124  = 0.02266379
J125  = 0.02262672
J126  = 0.02258974
J127  = 0.02255283
J128  = 0.022516 
J129  = 0.02247925
J130  = 0.02244259
J131  = 0.02240599
J132  = 0.02236948
J133  = 0.02233305
J134  = 0.02229669
J135  = 0.02226042
J136  = 0.02222422
J137  = 0.0221881
J138  = 0.02215205
J139  = 0.02211609
J140  = 0.0220802
J141  = 0.02204439
J142  = 0.02200865
J143  = 0.02197299
J144  = 0.02193741
J145  = 0.02190191
J146  = 0.02186648
J147  = 0.02183113
J148  = 0.02179586
J149  = 0.02176066
J150  = 0.02172554
J151  = 0.02169049
J152  = 0.02165552
J153  = 0.02162063
J154  = 0.02158581
J155  = 0.02155107
J156  = 0.0215164
J157  = 0.02148181
J158  = 0.02144729
J159  = 0.02141285
J160  = 0.02137848
J161  = 0.02134418
J162  = 0.02130997
J163  = 0.02127582
J164  = 0.02124175
J165  = 0.02120776
J166  = 0.02117383
J167  = 0.02113999
J168  = 0.02110621
J169  = 0.02107251
J170  = 0.02103888
J171  = 0.02100533
J172  = 0.02097185
J173  = 0.02093844
J174  = 0.02090511
J175  = 0.02087185
J176  = 0.02083866
J177  = 0.02080554
J178  = 0.0207725
J179  = 0.02073953
J180  = 0.02070663
J181  = 0.0206738
J182  = 0.02064105
J183  = 0.02060837
J184  = 0.02057576
J185  = 0.02054322
J186  = 0.02051075
J187  = 0.02047835
J188  = 0.02044603
J189  = 0.02041377
J190  = 0.02038159
J191  = 0.02034948
J192  = 0.02031744
J193  = 0.02028547
J194  = 0.02025356
J195  = 0.02022174
J196  = 0.02018998
J197  = 0.02015829
J198  = 0.02012667
J199  = 0.02009512
J200  = 0.02006364
J201  = 0.02003223
J202  = 0.02000089
J203  = 0.01996962
J204  = 0.01993842
J205  = 0.01990728
J206  = 0.01987622
J207  = 0.01984522
J208  = 0.0198143
J209  = 0.01978344
J210  = 0.01975265
J211  = 0.01972193
J212  = 0.01969128
J213  = 0.0196607
J214  = 0.01963019
J215  = 0.01959974
J216  = 0.01956936
J217  = 0.01953905
J218  = 0.0195088
J219  = 0.01947863
J220  = 0.01944852
J221  = 0.01941848
J222  = 0.0193885
J223  = 0.0193586
J224  = 0.01932876
J225  = 0.01929898
J226  = 0.01926928
J227  = 0.01923964
J228  = 0.01921006
J229  = 0.01918055
J230  = 0.01915111
J231  = 0.01912174
J232  = 0.01909243
J233  = 0.01906319
J234  = 0.01903401
J235  = 0.0190049
J236  = 0.01897585
J237  = 0.01894687
J238  = 0.01891796
J239  = 0.01888911
J240  = 0.01886032
J241  = 0.0188316
J242  = 0.01880295
J243  = 0.01877436
J244  = 0.01874583
J245  = 0.01871737
J246  = 0.01868898
J247  = 0.01866065
J248  = 0.01863238
J249  = 0.01860417
J250  = 0.01857604
J251  = 0.01854796
J252  = 0.01851995
J253  = 0.018492 
J254  = 0.01846411
J255  = 0.01843629
J256  = 0.01840854
J257  = 0.01838084
J258  = 0.01835321
J259  = 0.01832564
J260  = 0.01829813
J261  = 0.01827069
J262  = 0.01824331
J263  = 0.01821599
J264  = 0.01818874
J265  = 0.01816155
J266  = 0.01813442
J267  = 0.01810735
J268  = 0.01808034
J269  = 0.0180534
J270  = 0.01802651
J271  = 0.01799969
J272  = 0.01797293
J273  = 0.01794624
J274  = 0.0179196
J275  = 0.01789302
J276  = 0.01786651
J277  = 0.01784006
J278  = 0.01781366
J279  = 0.01778733
J280  = 0.01776106
J281  = 0.01773485
J282  = 0.0177087
J283  = 0.01768261
J284  = 0.01765659
J285  = 0.01763062
J286  = 0.01760471
J287  = 0.01757886
J288  = 0.01755307
J289  = 0.01752734
J290  = 0.01750167
J291  = 0.01747607
J292  = 0.01745052
J293  = 0.01742502
J294  = 0.01739959
J295  = 0.01737422
J296  = 0.01734891
J297  = 0.01732365
J298  = 0.01729846
J299  = 0.01727332
J300  = 0.01724824
J301  = 0.01722323
J302  = 0.01719826
J303  = 0.01717336
J304  = 0.01714852
J305  = 0.01712373
J306  = 0.017099 
J307  = 0.01707433
J308  = 0.01704972
J309  = 0.01702517
J310  = 0.01700067
J311  = 0.01697623
J312  = 0.01695185
J313  = 0.01692752
J314  = 0.01690326
J315  = 0.01687904
J316  = 0.01685489
J317  = 0.01683079
J318  = 0.01680676
J319  = 0.01678277
J320  = 0.01675885
J321  = 0.01673498
J322  = 0.01671116
J323  = 0.01668741
J324  = 0.0166637
J325  = 0.01664006
J326  = 0.01661647
J327  = 0.01659294
J328  = 0.01656946
J329  = 0.01654604
J330  = 0.01652267
J331  = 0.01649936
J332  = 0.01647611
J333  = 0.01645291
J334  = 0.01642977
J335  = 0.01640668
J336  = 0.01638364
J337  = 0.01636066
J338  = 0.01633774
J339  = 0.01631487
J340  = 0.01629205
J341  = 0.01626929
J342  = 0.01624659
J343  = 0.01622394
J344  = 0.01620134
J345  = 0.0161788
J346  = 0.01615631
J347  = 0.01613387
J348  = 0.01611149
J349  = 0.01608916
J350  = 0.01606689
J351  = 0.01604467
J352  = 0.0160225
J353  = 0.01600039
J354  = 0.01597833
J355  = 0.01595632
J356  = 0.01593437
J357  = 0.01591247
J358  = 0.01589062
J359  = 0.01586883
J360  = 0.01584708
J361  = 0.01582539
J362  = 0.01580376
J363  = 0.01578217
J364  = 0.01576064
J365  = 0.01573916
J366  = 0.01571773
J367  = 0.01569636
J368  = 0.01567503
J369  = 0.01565376
J370  = 0.01563254
J371  = 0.01561137
J372  = 0.01559025
J373  = 0.01556919
J374  = 0.01554817
J375  = 0.01552721
J376  = 0.0155063
J377  = 0.01548544
J378  = 0.01546463
J379  = 0.01544387
J380  = 0.01542316
J381  = 0.01540251
J382  = 0.0153819
J383  = 0.01536135
J384  = 0.01534084
J385  = 0.01532039
J386  = 0.01529998
J387  = 0.01527963
J388  = 0.01525932
J389  = 0.01523907
J390  = 0.01521887
J391  = 0.01519871
J392  = 0.01517861
J393  = 0.01515855
J394  = 0.01513855
J395  = 0.01511859
J396  = 0.01509869
J397  = 0.01507883
J398  = 0.01505902
J399  = 0.01503926
J400  = 0.01501955
J401  = 0.01499989
J402  = 0.01498028
J403  = 0.01496072
J404  = 0.0149412
J405  = 0.01492174
J406  = 0.01490232
J407  = 0.01488295
J408  = 0.01486363
J409  = 0.01484436
J410  = 0.01482513
J411  = 0.01480596
J412  = 0.01478683
J413  = 0.01476775
J414  = 0.01474872
J415  = 0.01472973
J416  = 0.0147108
J417  = 0.01469191
J418  = 0.01467306
J419  = 0.01465427
J420  = 0.01463552
J421  = 0.01461682
J422  = 0.01459817
J423  = 0.01457956
J424  = 0.014561 
J425  = 0.01454249
J426  = 0.01452402
J427  = 0.0145056
J428  = 0.01448723
J429  = 0.0144689
J430  = 0.01445063
J431  = 0.01443239
J432  = 0.0144142
J433  = 0.01439606
J434  = 0.01437797
J435  = 0.01435992
