J0    = 486.4754 
J1    = 486.2459 
J2    = 486.2459 
J3    = 486.2459 
J4    = 470.7085 
J5    = 231.7945 
J6    = 97.61523 
J7    = 16.65873 
J8    = 7.454093 
J9    = 7.454093 
J10   = 7.453616 
J11   = 7.453616 
J12   = 7.453604 
J13   = 7.453592 
J14   = 7.453581 
J15   = 7.453567 
J16   = 7.453563 
J17   = 7.453563 
J18   = 7.453554 
J19   = 7.453551 
J20   = 7.45354  
J21   = 7.453538 
J22   = 7.453537 
J23   = 7.453535 
J24   = 7.453527 
J25   = 7.453517 
J26   = 7.453483 
J27   = 7.453456 
J28   = 7.453427 
J29   = 7.453389 
J30   = 7.453382 
J31   = 7.453376 
J32   = 7.453316 
J33   = 7.453276 
J34   = 7.453144 
J35   = 7.453011 
J36   = 7.45297  
J37   = 7.452918 
J38   = 7.452549 
J39   = 7.452289 
J40   = 7.451334 
J41   = 7.447372 
J42   = 7.436221 
J43   = 7.409329 
J44   = 7.349829 
J45   = 7.22504  
J46   = 6.973303 
J47   = 6.483268 
J48   = 5.56874  
J49   = 3.96549  
J50   = 1.470079 
J51   = 1.193799 
J52   = 0.6606042
J53   = 0.3876745
Return: alphak is too small.
Total time used: 308.12 
