J0     = 0.04394239902496338
J1     = 0.03817804336547852
J2     = 0.01788496017456055
J3     = 0.01572656512260437
J4     = 0.009354796409606934
J5     = 0.00832094371318817
J6     = 0.007149702906608582
J7     = 0.006818232536315918
J8     = 0.006558451652526855
J9     = 0.006419486403465271
J10    = 0.006310557723045349
J11    = 0.006208625435829162
J12    = 0.006119771003723145
J13    = 0.006040434837341309
J14    = 0.005954495668411255
J15    = 0.00587390422821045
J16    = 0.005790805816650391
J17    = 0.0057105767726898194
J18    = 0.005629962682723999
J19    = 0.005551187992095947
J20    = 0.005472898483276367
J21    = 0.005395992994308472
J22    = 0.005319917798042298
J23    = 0.005245031118392945
J24    = 0.005171101689338684
J25    = 0.005098260045051575
J26    = 0.005026407241821289
J27    = 0.0049555981159210205
J28    = 0.004885772168636322
J29    = 0.004816932678222656
J30    = 0.004749066829681396
J31    = 0.004682166278362274
J32    = 0.004616208970546722
J33    = 0.00455118328332901
J34    = 0.004487079381942749
J35    = 0.004423893988132477
J36    = 0.0043615949153900145
J37    = 0.004300181567668915
J38    = 0.004239636063575745
J39    = 0.004179948270320893
J40    = 0.004121105968952179
J41    = 0.004063103795051575
J42    = 0.004005914330482483
J43    = 0.0039495411515235905
J44    = 0.0038939708471298217
J45    = 0.0038391676545143126
J46    = 0.0037851646542549134
J47    = 0.0037319135665893556
J48    = 0.0036794278025627136
J49    = 0.0036276787519454955
J50    = 0.0035769593715667724
J51    = 0.0035271558165550234
J52    = 0.003478064239025116
J53    = 0.003429660797119141
J54    = 0.003381946384906769
J55    = 0.0033349093794822694
J56    = 0.0032885366678237914
J57    = 0.0032428255677223205
J58    = 0.0031977543234825135
J59    = 0.0031533220410346987
J60    = 0.0031095319986343384
J61    = 0.0030663472414016726
J62    = 0.0030237841606140137
J63    = 0.002981814742088318
J64    = 0.0029404473304748538
J65    = 0.0028996625542640686
J66    = 0.0028594619035720824
J67    = 0.002819826900959015
J68    = 0.002780749499797821
J69    = 0.0027422264218330385
J70    = 0.0027042528986930847
J71    = 0.0026668167114257814
J72    = 0.0026299139857292177
J73    = 0.0025935298204421997
J74    = 0.002557656764984131
J75    = 0.0025223007798194884
J76    = 0.002487440407276154
J77    = 0.002453072965145111
J78    = 0.002419191598892212
J79    = 0.002385794818401337
J80    = 0.0023528759181499484
J81    = 0.002320411205291748
J82    = 0.0022884202003479004
J83    = 0.0022568580508232116
J84    = 0.0022257693111896516
J85    = 0.0021951067447662353
J86    = 0.002164888381958008
J87    = 0.002135085016489029
J88    = 0.002105713039636612
J89    = 0.0020767568051815034
J90    = 0.002048211842775345
J91    = 0.0020200708508491517
J92    = 0.001992323100566864
J93    = 0.001964976340532303
J94    = 0.0019380083680152894
J95    = 0.0019114288687705995
J96    = 0.0018852251768112184
J97    = 0.001859390288591385
J98    = 0.0018342837691307067
J99    = 0.0018096691370010375
J100   = 0.0017853979766368866
J101   = 0.0017614722251892091
J102   = 0.0017378826439380646
J103   = 0.0017146292328834535
J104   = 0.0016917060315608978
J105   = 0.0016691087186336518
J106   = 0.0016468364000320436
J107   = 0.0016248704493045808
J108   = 0.0016032205522060394
J109   = 0.0015818774700164795
J110   = 0.0015608276426792144
J111   = 0.0015401887893676759
J112   = 0.001519947052001953
J113   = 0.001499982476234436
J114   = 0.0014803062379360199
J115   = 0.0014609266817569733
J116   = 0.0014417900145053863
J117   = 0.0014229390025138856
J118   = 0.0014043550193309784
J119   = 0.001386030912399292
J120   = 0.0013679689168930053
J121   = 0.0013501599431037902
J122   = 0.0013326048851013184
J123   = 0.0013153025507926942
J124   = 0.0012982405722141265
J125   = 0.0012814223766326905
J126   = 0.0012648434937000276
J127   = 0.0012484980374574662
J128   = 0.001232524886727333
J129   = 0.0012171056866645813
J130   = 0.0012019065022468567
J131   = 0.00118693046271801
J132   = 0.0011721502244472503
J133   = 0.0011575905978679656
J134   = 0.0011432354152202606
J135   = 0.001129080280661583
J136   = 0.0011151280254125596
J137   = 0.0011013717204332353
J138   = 0.0010878092050552368
J139   = 0.001074436828494072
J140   = 0.0010612569749355316
J141   = 0.001048266738653183
J142   = 0.0010354606807231903
J143   = 0.001022825464606285
J144   = 0.0010103779286146164
J145   = 0.0009981048852205276
J146   = 0.000986006036400795
J147   = 0.0009740783274173737
J148   = 0.0009623160213232041
J149   = 0.0009507235884666443
J150   = 0.0009392960369586945
J151   = 0.0009280234575271606
J152   = 0.0009169206768274308
J153   = 0.0009059660136699676
J154   = 0.0008955855667591095
J155   = 0.0008853556960821152
J156   = 0.0008752766996622086
J157   = 0.0008653421700000764
J158   = 0.0008555472642183304
J159   = 0.0008459997922182083
J160   = 0.0008367810398340226
J161   = 0.0008279043436050415
J162   = 0.0008192463219165802
J163   = 0.0008109591156244278
J164   = 0.000802917554974556
J165   = 0.0007949828356504441
J166   = 0.0007875858247280121
J167   = 0.0007803001254796982
J168   = 0.0007731106877326966
J169   = 0.0007662776112556458
J170   = 0.0007597614824771882
J171   = 0.0007533218711614609
J172   = 0.0007469920814037323
J173   = 0.0007407985627651215
J174   = 0.0007351195812225342
J175   = 0.0007295214384794236
J176   = 0.0007240055501461029
J177   = 0.0007185676693916321
J178   = 0.0007132281363010407
J179   = 0.0007085322588682174
J180   = 0.0007041389495134354
J181   = 0.0006998190283775329
J182   = 0.0006955578923225403
J183   = 0.0006913519650697708
J184   = 0.0006872040778398514
J185   = 0.000683114156126976
J186   = 0.0006792246550321579
J187   = 0.0006756944954395295
J188   = 0.0006722166389226913
J189   = 0.0006687796860933304
J190   = 0.0006654062122106552
J191   = 0.0006620623916387558
J192   = 0.0006587763875722885
J193   = 0.0006555336713790894
J194   = 0.0006523342430591584
J195   = 0.0006491757929325104
J196   = 0.0006464287638664245
J197   = 0.0006437578052282334
J198   = 0.0006411167234182357
J199   = 0.0006385195255279541
J200   = 0.0006359475106000901
J201   = 0.0006334181129932404
J202   = 0.0006309286504983902
J203   = 0.0006284649670124054
J204   = 0.0006260444968938828
J205   = 0.0006236465647816658
J206   = 0.0006212930753827095
J207   = 0.000619235560297966
J208   = 0.0006172380596399308
J209   = 0.0006155622750520706
J210   = 0.0006139594689011573
J211   = 0.0006124317646026611
J212   = 0.0006109274551272392
J213   = 0.0006094446033239365
J214   = 0.0006079800799489021
J215   = 0.0006065424904227257
J216   = 0.0006051139906048775
