J0    = 0.09727763
J1    = 0.06765429
J2    = 0.05141537
J3    = 0.04692349
J4    = 0.04307611
J5    = 0.04077296
J6    = 0.03739828
J7    = 0.03456809
J8    = 0.03201361
J9    = 0.02926351
J10   = 0.02727933
J11   = 0.02480535
J12   = 0.02319967
J13   = 0.02105188
J14   = 0.01970915
J15   = 0.01788151
J16   = 0.01673272
J17   = 0.01519733
J18   = 0.01419937
J19   = 0.01292138
J20   = 0.0120455
J21   = 0.01098975
J22   = 0.01021549
J23   = 0.009349409
J24   = 0.008661302
J25   = 0.0079559
J26   = 0.00734172
J27   = 0.006771784
J28   = 0.006223337
J29   = 0.005765412
J30   = 0.005280663
J31   = 0.004909979
J32   = 0.004484975
J33   = 0.004182752
J34   = 0.003812901
J35   = 0.003564436
J36   = 0.003247 
J37   = 0.003038653
J38   = 0.002771882
J39   = 0.002591491
J40   = 0.002372852
J41   = 0.00222098
J42   = 0.002057885
J43   = 0.001927807
J44   = 0.001814641
J45   = 0.001726962
J46   = 0.001639836
J47   = 0.001569353
J48   = 0.001506767
J49   = 0.001452118
J50   = 0.001398319
J51   = 0.001356343
J52   = 0.001308243
J53   = 0.001277898
J54   = 0.001237611
J55   = 0.001209612
J56   = 0.001178945
J57   = 0.001151024
J58   = 0.001126627
J59   = 0.001099076
J60   = 0.001080646
J61   = 0.001053464
J62   = 0.001039591
J63   = 0.001016029
J64   = 0.001002398
J65   = 0.0009829808
J66   = 0.0009673289
J67   = 0.0009517646
J68   = 0.0009341841
J69   = 0.000922696
J70   = 0.0009028805
J71   = 0.0008948095
J72   = 0.000875299
J73   = 0.0008680348
J74   = 0.0008494118
J75   = 0.0008425038
J76   = 0.0008254688
J77   = 0.0008185961
J78   = 0.0008030008
J79   = 0.0007955405
J80   = 0.000781262
J81   = 0.0007732986
J82   = 0.0007606223
J83   = 0.0007518641
J84   = 0.0007408371
J85   = 0.0007313076
J86   = 0.0007219767
J87   = 0.0007119159
J88   = 0.0007037223
J89   = 0.0006934819
J90   = 0.0006863305
J91   = 0.0006761597
J92   = 0.0006699972
J93   = 0.0006607824
J94   = 0.0006551238
J95   = 0.0006464661
J96   = 0.0006408923
J97   = 0.0006327092
J98   = 0.0006274415
J99   = 0.000619663
J100  = 0.0006143723
J101  = 0.0006069604
J102  = 0.0006019381
J103  = 0.0005952002
J104  = 0.0005899667
J105  = 0.0005843943
J106  = 0.0005786123
J107  = 0.0005738647
J108  = 0.0005682076
J109  = 0.0005636038
J110  = 0.0005583746
J111  = 0.000553894
J112  = 0.0005488538
J113  = 0.000544441
J114  = 0.0005395603
J115  = 0.0005352199
J116  = 0.0005305023
J117  = 0.0005262247
J118  = 0.0005219411
J119  = 0.0005177442
J120  = 0.0005135802
J121  = 0.0005094804
J122  = 0.0005054148
J123  = 0.0005014318
J124  = 0.0004975348
J125  = 0.0004939336
J126  = 0.000490295
J127  = 0.0004868574
J128  = 0.0004833082
J129  = 0.0004799346
J130  = 0.0004764711
J131  = 0.0004732029
J132  = 0.0004699831
J133  = 0.0004668014
J134  = 0.0004636497
J135  = 0.0004605347
J136  = 0.0004574495
J137  = 0.0004543997
J138  = 0.0004513793
J139  = 0.0004483931
J140  = 0.000445436
J141  = 0.000442512
J142  = 0.0004396166
J143  = 0.0004367532
J144  = 0.000433918
J145  = 0.0004311137
J146  = 0.0004283372
J147  = 0.0004255908
J148  = 0.0004228963
J149  = 0.0004203191
J150  = 0.0004177519
J151  = 0.0004152252
J152  = 0.0004127103
J153  = 0.0004102738
J154  = 0.0004078516
J155  = 0.0004055279
J156  = 0.0004032291
J157  = 0.0004009587
J158  = 0.0003987041
J159  = 0.000396554
J160  = 0.0003944356
J161  = 0.0003923544
J162  = 0.0003903918
J163  = 0.0003884555
J164  = 0.0003865361
J165  = 0.0003846321
J166  = 0.0003828362
J167  = 0.0003811011
J168  = 0.0003793938
J169  = 0.0003777047
J170  = 0.0003760229
J171  = 0.0003743582
J172  = 0.0003727906
J173  = 0.0003712622
J174  = 0.0003697615
J175  = 0.0003683298
J176  = 0.0003669059
J177  = 0.0003654915
J178  = 0.0003641297
J179  = 0.000362841
J180  = 0.0003615826
J181  = 0.0003603331
