J0    = 0.0655287
J1    = 0.03554925
J2    = 0.02457403
J3    = 0.01761498
J4    = 0.01301288
J5    = 0.00996434
J6    = 0.008339945
J7    = 0.0065006
J8    = 0.005913041
J9    = 0.005059486
J10   = 0.004709011
J11   = 0.004278577
J12   = 0.004060967
J13   = 0.003767123
J14   = 0.00359235
J15   = 0.00341087
J16   = 0.00326609
J17   = 0.003145163
J18   = 0.003022173
J19   = 0.002923436
J20   = 0.002818352
J21   = 0.002726197
J22   = 0.002644881
J23   = 0.002562156
J24   = 0.002491141
J25   = 0.002415782
J26   = 0.0023483
J27   = 0.002280827
J28   = 0.002213821
J29   = 0.002157459
J30   = 0.002096685
J31   = 0.00204276
J32   = 0.001988154
J33   = 0.001934841
J34   = 0.001888746
J35   = 0.001834424
J36   = 0.001795655
J37   = 0.001747558
J38   = 0.001709738
J39   = 0.001667701
J40   = 0.001634998
J41   = 0.00159766
J42   = 0.001569902
J43   = 0.001536318
J44   = 0.001512256
J45   = 0.001481573
J46   = 0.001458875
J47   = 0.001430197
J48   = 0.001409709
J49   = 0.001384043
J50   = 0.001365824
J51   = 0.001341641
J52   = 0.001323802
J53   = 0.001301712
J54   = 0.001283674
J55   = 0.001264926
J56   = 0.001247415
J57   = 0.00123031
J58   = 0.001214264
J59   = 0.001198482
J60   = 0.001184458
J61   = 0.001170246
J62   = 0.00115834
J63   = 0.001146054
J64   = 0.001135335
J65   = 0.001125073
J66   = 0.001115204
J67   = 0.001105251
J68   = 0.001095811
J69   = 0.001086634
J70   = 0.001077576
J71   = 0.001068949
J72   = 0.001059977
J73   = 0.001051689
J74   = 0.001043294
J75   = 0.001035933
J76   = 0.001028043
J77   = 0.001020806
J78   = 0.001013549
J79   = 0.001006673
J80   = 0.001000153
J81   = 0.0009934076
J82   = 0.0009869593
J83   = 0.0009803543
J84   = 0.0009742257
J85   = 0.0009681021
J86   = 0.0009622029
J87   = 0.0009563072
J88   = 0.0009504635
J89   = 0.0009446278
J90   = 0.000938894
J91   = 0.0009333983
J92   = 0.0009278601
J93   = 0.0009224276
J94   = 0.0009171972
J95   = 0.0009119064
J96   = 0.0009067063
J97   = 0.0009014589
J98   = 0.0008963518
J99   = 0.0008913324
J100  = 0.000886569
J101  = 0.000881894
J102  = 0.0008771735
J103  = 0.0008725138
J104  = 0.0008678184
J105  = 0.0008631772
J106  = 0.0008585088
J107  = 0.0008539241
J108  = 0.0008493753
J109  = 0.0008449554
J110  = 0.0008406185
J111  = 0.0008362825
J112  = 0.0008319605
J113  = 0.0008276417
J114  = 0.0008233372
J115  = 0.0008190379
J116  = 0.0008147531
J117  = 0.0008104754
J118  = 0.0008062451
J119  = 0.0008020579
J120  = 0.00079788
J121  = 0.0007937153
J122  = 0.0007895612
J123  = 0.0007854509
J124  = 0.0007814168
J125  = 0.0007773999
J126  = 0.0007733882
J127  = 0.0007693936
J128  = 0.000765406
J129  = 0.0007614352
J130  = 0.000757473
J131  = 0.0007535276
J132  = 0.0007495921
J133  = 0.0007456734
J134  = 0.0007417658
J135  = 0.000737875
J136  = 0.0007339962
J137  = 0.0007301344
J138  = 0.0007262854
J139  = 0.0007224536
J140  = 0.0007186353
J141  = 0.0007148341
J142  = 0.0007110473
J143  = 0.0007072776
J144  = 0.0007035228
J145  = 0.0006997854
J146  = 0.0006960632
J147  = 0.0006923585
J148  = 0.0006886695
J149  = 0.0006849981
J150  = 0.0006813427
J151  = 0.0006777049
J152  = 0.0006740834
J153  = 0.0006704797
J154  = 0.0006668926
J155  = 0.0006633231
J156  = 0.0006597706
J157  = 0.0006562357
J158  = 0.0006527179
J159  = 0.0006492179
J160  = 0.000645735
J161  = 0.0006422699
J162  = 0.000638822
J163  = 0.000635392
J164  = 0.0006319793
J165  = 0.0006285843
J166  = 0.0006252068
J167  = 0.000621847
J168  = 0.0006185046
J169  = 0.00061518
J170  = 0.0006118728
J171  = 0.0006085833
J172  = 0.0006053112
J173  = 0.0006020568
J174  = 0.0005988197
J175  = 0.0005956003
J176  = 0.0005923982
J177  = 0.0005892136
J178  = 0.0005860463
J179  = 0.0005828964
J180  = 0.0005797896
J181  = 0.0005767975
J182  = 0.0005738299
J183  = 0.000570878
J184  = 0.000567942
J185  = 0.0005650622
J186  = 0.000562221
J187  = 0.0005593949
J188  = 0.0005565839
J189  = 0.0005538145
J190  = 0.0005510605
J191  = 0.0005483675
J192  = 0.0005456968
J193  = 0.0005430402
J194  = 0.0005403974
J195  = 0.0005377687
J196  = 0.0005351539
J197  = 0.0005325634
J198  = 0.0005300401
J199  = 0.0005275301
J200  = 0.0005250334
J201  = 0.00052255
J202  = 0.0005200797
J203  = 0.0005176253
J204  = 0.0005152216
J205  = 0.0005128307
J206  = 0.0005104525
J207  = 0.000508087
J208  = 0.0005057342
J209  = 0.000503394
J210  = 0.0005010663
J211  = 0.0004987513
