J0     = 0.06408340334892274
J1     = 0.06648011207580566
J2     = 0.053647673130035406
J3     = 0.045068013668060306
J4     = 0.03858852982521058
J5     = 0.034643566608428954
J6     = 0.03218741416931153
J7     = 0.029369285702705385
J8     = 0.027453917264938357
J9     = 0.025546711683273316
J10    = 0.023946121335029602
J11    = 0.022246758639812472
J12    = 0.021019068360328675
J13    = 0.019745007157325745
J14    = 0.01902640759944916
J15    = 0.017901673913002014
J16    = 0.017164041101932526
J17    = 0.01617741733789444
J18    = 0.015462890267372131
J19    = 0.014599034190177919
J20    = 0.013947126269340516
J21    = 0.013172134757041931
J22    = 0.012739643454551697
J23    = 0.012195008993148805
J24    = 0.011660689860582352
J25    = 0.011291647702455521
J26    = 0.010814564675092697
J27    = 0.010451103001832962
J28    = 0.010020802915096284
J29    = 0.00966973677277565
J30    = 0.009278705716133118
J31    = 0.008943957835435867
J32    = 0.008598530292510986
J33    = 0.008290921151638032
J34    = 0.007998746633529664
J35    = 0.0077103756368160255
J36    = 0.007435043156147004
J37    = 0.00716497153043747
J38    = 0.0069062054157257085
J39    = 0.006653552502393723
J40    = 0.006410900503396988
J41    = 0.006174785643815995
J42    = 0.00594768263399601
J43    = 0.005727246403694153
J44    = 0.005515040457248688
J45    = 0.005309463664889336
J46    = 0.005111455172300339
J47    = 0.00491989329457283
J48    = 0.0047353550791740424
J49    = 0.004557030647993088
J50    = 0.004385225847363472
J51    = 0.0042193539440631865
J52    = 0.004059553146362305
J53    = 0.003905376791954041
J54    = 0.0037568517029285434
J55    = 0.003613647073507309
J56    = 0.0034757275134325027
J57    = 0.0033427849411964417
J58    = 0.003214767202734947
J59    = 0.003091440908610821
J60    = 0.0029727015644311905
J61    = 0.0028583414852619174
J62    = 0.0027482716366648676
J63    = 0.002642273157835007
J64    = 0.0025402655825018886
J65    = 0.002442069910466671
J66    = 0.0023475831374526026
J67    = 0.0022566605359315875
J68    = 0.002169163152575493
J69    = 0.002084982767701149
J70    = 0.0020040139555931092
J71    = 0.00192610714584589
J72    = 0.001851191930472851
J73    = 0.001779107004404068
J74    = 0.0017097946256399155
J75    = 0.0016431337222456933
J76    = 0.0015790289267897607
J77    = 0.0015173889696598053
J78    = 0.0014581161551177502
J79    = 0.001401125267148018
J80    = 0.001346337702125311
J81    = 0.0012936607934534551
J82    = 0.0012430140748620035
J83    = 0.0011943343095481397
J84    = 0.001147544477134943
J85    = 0.0011025641113519668
J86    = 0.001059320941567421
J87    = 0.001017766073346138
J88    = 0.0009778342209756374
J89    = 0.000939440168440342
J90    = 0.0009025456383824348
J91    = 0.000867093075066805
J92    = 0.0008330175653100014
J93    = 0.0008002844639122486
J94    = 0.0007688053417950869
J95    = 0.0007385699078440666
J96    = 0.0007095092907547951
J97    = 0.0006816004868596793
J98    = 0.0006547702476382256
J99    = 0.00062899524345994
J100   = 0.0006042267195880413
J101   = 0.0005804256070405245
J102   = 0.0005575689487159252
J103   = 0.0005356005858629942
J104   = 0.0005144995637238026
J105   = 0.0004942203406244517
J106   = 0.0004747383762151003
J107   = 0.0004560212139040232
J108   = 0.0004380411002784968
J109   = 0.00042077237740159037
J110   = 0.00040416773408651356
J111   = 0.00038822772912681106
J112   = 0.00037291452754288916
J113   = 0.0003581906668841839
J114   = 0.0003440618747845292
J115   = 0.00033048642799258235
J116   = 0.000317441183142364
J117   = 0.00030490765348076824
J118   = 0.0002928703324869275
J119   = 0.0002813088707625866
J120   = 0.0002702077850699425
J121   = 0.0002595381811261177
J122   = 0.00024928906932473186
J123   = 0.0002394454088062048
J124   = 0.0002299861516803503
J125   = 0.00022090147249400618
J126   = 0.00021218070760369302
J127   = 0.0002037908881902695
J128   = 0.000195738160982728
J129   = 0.00018800897523760796
J130   = 0.00018058605492115022
J131   = 0.0001734416699036956
J132   = 0.00016658917302265764
J133   = 0.00016000410541892052
J134   = 0.00015368002932518722
J135   = 0.00014761566417291762
J136   = 0.00014177835546433926
J137   = 0.0001361713861115277
J138   = 0.00013079062337055804
J139   = 0.0001256172312423587
J140   = 0.00012066334020346404
J141   = 0.00011588564375415445
J142   = 0.00011131208157166839
J143   = 0.00010690649505704642
J144   = 0.0001026827609166503
J145   = 9.862552396953106e-05
