J0    = 0.0485504
J1    = 0.02226956
J2    = 0.01194829
J3    = 0.01059185
J4    = 0.008501135
J5    = 0.007616189
J6    = 0.00672865
J7    = 0.006073659
J8    = 0.00562542
J9    = 0.005195661
J10   = 0.00480274
J11   = 0.004479354
J12   = 0.004195063
J13   = 0.0039376
J14   = 0.003735293
J15   = 0.003537247
J16   = 0.003350696
J17   = 0.003185369
J18   = 0.003049865
J19   = 0.002919253
J20   = 0.002795534
J21   = 0.002678507
J22   = 0.002566828
J23   = 0.002461121
J24   = 0.002360429
J25   = 0.002264409
J26   = 0.002173948
J27   = 0.002087273
J28   = 0.002005278
J29   = 0.001930472
J30   = 0.001868725
J31   = 0.001821751
J32   = 0.001775455
J33   = 0.001731958
J34   = 0.001689834
J35   = 0.001648846
J36   = 0.001608808
J37   = 0.001569939
J38   = 0.001532256
J39   = 0.001496908
J40   = 0.001462605
J41   = 0.001428931
J42   = 0.001395889
J43   = 0.001364287
J44   = 0.001333417
J45   = 0.001304178
J46   = 0.00127673
J47   = 0.001250222
J48   = 0.001224264
J49   = 0.00119894
J50   = 0.001174043
J51   = 0.001150271
J52   = 0.001126795
J53   = 0.001103673
J54   = 0.001081758
J55   = 0.001061241
J56   = 0.001041532
J57   = 0.001022072
J58   = 0.001002826
J59   = 0.0009838141
J60   = 0.000965334
J61   = 0.0009476364
J62   = 0.0009303181
J63   = 0.000913468
J64   = 0.0008968057
J65   = 0.0008808474
J66   = 0.0008662967
J67   = 0.0008521379
J68   = 0.0008399627
J69   = 0.0008297626
J70   = 0.0008194272
J71   = 0.0008091045
J72   = 0.0007991158
J73   = 0.0007901669
J74   = 0.0007810337
J75   = 0.0007718559
J76   = 0.0007626921
J77   = 0.0007535475
J78   = 0.0007445435
J79   = 0.000735577
J80   = 0.000727262
J81   = 0.0007192278
J82   = 0.0007113448
J83   = 0.0007038603
J84   = 0.0006963808
J85   = 0.0006889198
J86   = 0.0006816354
J87   = 0.0006744683
J88   = 0.0006673239
J89   = 0.0006605148
J90   = 0.0006544635
J91   = 0.0006483405
J92   = 0.0006422053
J93   = 0.0006360718
J94   = 0.0006299461
J95   = 0.0006238385
J96   = 0.0006177559
J97   = 0.0006117288
J98   = 0.000605728
J99   = 0.000599746
J100  = 0.0005937872
J101  = 0.0005880967
J102  = 0.0005828902
J103  = 0.0005776857
J104  = 0.0005726144
J105  = 0.0005675581
J106  = 0.0005625748
J107  = 0.0005576206
J108  = 0.0005528622
J109  = 0.000548112
J110  = 0.0005433734
J111  = 0.0005386488
J112  = 0.0005339403
J113  = 0.0005292496
J114  = 0.0005246102
J115  = 0.0005202615
J116  = 0.0005159464
J117  = 0.0005122815
J118  = 0.0005086492
J119  = 0.0005050269
J120  = 0.0005016294
J121  = 0.000498281
