J0    = 0.6487253
J1    = 0.1646979
J2    = 0.03326822
J3    = 0.0165713
J4    = 0.01631333
J5    = 0.01557594
J6    = 0.007522437
J7    = 0.007196939
J8    = 0.0063453
J9    = 0.004213787
J10   = 0.003334031
J11   = 0.002871229
J12   = 0.001959302
J13   = 0.001326515
J14   = 0.001101532
J15   = 0.0005057819
J16   = 0.0004446515
J17   = 0.0004361573
J18   = 0.0003863969
J19   = 0.0001912833
J20   = 0.0001912833
J21   = 0.0001649881
J22   = 0.0001499836
J23   = 0.0001481906
J24   = 0.0001266997
J25   = 0.0001182796
J26   = 0.0001110346
J27   = 0.0001082775
J28   = 0.0001030076
J29   = 9.266151e-05
Return: J is lower than epsilon.
Total time used: 17.26  
