J0    = 2.086645 
J1    = 1.611608 
J2    = 1.611608 
J3    = 0.8862152
J4    = 0.343306 
J5    = 0.2038976
J6    = 0.1170557
J7    = 0.07259942
J8    = 0.05524739
J9    = 0.03993484
J10   = 0.03382361
J11   = 0.02929669
J12   = 0.01968306
J13   = 0.01503974
J14   = 0.01337094
J15   = 0.01177793
J16   = 0.01158395
J17   = 0.01116581
J18   = 0.009107722
J19   = 0.0069203
J20   = 0.005603876
J21   = 0.005484977
J22   = 0.005433549
J23   = 0.004708515
J24   = 0.00426817
J25   = 0.003412173
J26   = 0.003106992
J27   = 0.002960391
J28   = 0.002679341
J29   = 0.002486979
J30   = 0.002300812
J31   = 0.002206789
J32   = 0.002206789
J33   = 0.002170829
J34   = 0.002170829
J35   = 0.002170829
J36   = 0.002170829
J37   = 0.002170829
Return: alphak is too small.
Total time used: 53.96  
