J0    = 1.72482  
J1    = 1.266441 
J2    = 0.7532771
J3    = 0.2824931
J4    = 0.08359852
J5    = 0.03212115
J6    = 0.02646932
J7    = 0.01769587
J8    = 0.01318062
J9    = 0.01213895
J10   = 0.005482716
J11   = 0.003797017
J12   = 0.003203639
J13   = 0.003111646
J14   = 0.002096694
J15   = 0.001875551
J16   = 0.001792605
J17   = 0.001432664
J18   = 0.001110355
J19   = 0.001110355
J20   = 0.0006985455
J21   = 0.0005839066
J22   = 0.000521838
J23   = 0.0003878047
J24   = 0.0003276838
J25   = 0.0003104245
J26   = 0.0003104245
J27   = 0.000310294
J28   = 0.0003099864
J29   = 0.0003099864
J30   = 0.0003099864
Return: alphak is too small.
Total time used: 20.21  
