J0    = 2.392947 
J1    = 1.725424 
J2    = 0.3519931
J3    = 0.2345986
J4    = 0.1703282
J5    = 0.1101671
J6    = 0.09131097
J7    = 0.07548377
J8    = 0.06412004
J9    = 0.05091902
J10   = 0.04307678
J11   = 0.03788939
J12   = 0.03425479
J13   = 0.03066958
J14   = 0.02724593
J15   = 0.02476173
J16   = 0.02320455
J17   = 0.02165263
J18   = 0.01934554
J19   = 0.01685267
J20   = 0.01548231
J21   = 0.01501076
J22   = 0.01465008
J23   = 0.01379795
J24   = 0.01215407
J25   = 0.00999801
J26   = 0.008756905
J27   = 0.008456216
J28   = 0.008379477
J29   = 0.008264385
J30   = 0.007925619
J31   = 0.007181277
J32   = 0.00594074
J33   = 0.004882408
J34   = 0.004529663
J35   = 0.004486644
J36   = 0.004480969
J37   = 0.004466927
J38   = 0.004420633
J39   = 0.004294277
J40   = 0.003987241
J41   = 0.003411001
J42   = 0.002750952
J43   = 0.00242456
J44   = 0.002369028
J45   = 0.002366365
J46   = 0.002364408
J47   = 0.002354072
J48   = 0.002325788
J49   = 0.002243095
J50   = 0.002043688
J51   = 0.001647074
J52   = 0.001152994
J53   = 0.0008921649
J54   = 0.0008544065
J55   = 0.0008537081
J56   = 0.0008535969
J57   = 0.0005015096
J58   = 0.0004931204
J59   = 0.0004924194
J60   = 0.0004923201
J61   = 0.0004921645
J62   = 0.0004917455
J63   = 0.0004906259
J64   = 0.0004876766
J65   = 0.000480069
J66   = 0.0004611848
J67   = 0.0004182029
J68   = 0.0003381298
J69   = 0.0002402028
J70   = 0.0001694258
J71   = 0.0001246999
J72   = 0.0001128305
J73   = 0.0001122594
J74   = 0.0001121622
J75   = 0.0001121347
J76   = 0.0001121322
J77   = 0.0001121311
J78   = 0.0001121268
J79   = 0.0001121108
J80   = 0.0001120614
J81   = 0.0001119198
J82   = 0.0001115343
J83   = 0.0001105238
J84   = 0.000108016
J85   = 0.0001024593
J86   = 9.319503e-05
J87   = 8.620769e-05
J88   = 8.589978e-05
J89   = 7.865432e-05
J90   = 7.073586e-05
J91   = 7.001036e-05
J92   = 6.983312e-05
J93   = 6.97011e-05
J94   = 6.948258e-05
J95   = 6.931152e-05
J96   = 6.931087e-05
J97   = 6.931022e-05
J98   = 6.912395e-05
J99   = 6.888766e-05
J100  = 6.714834e-05
J101  = 6.362802e-05
J102  = 5.544643e-05
J103  = 4.925548e-05
J104  = 4.892822e-05
J105  = 4.849752e-05
J106  = 4.816594e-05
J107  = 4.607389e-05
J108  = 4.082903e-05
J109  = 2.921151e-05
J110  = 2.083783e-05
J111  = 1.811127e-05
J112  = 1.509831e-05
J113  = 1.407999e-05
J114  = 1.309057e-05
J115  = 1.274471e-05
J116  = 1.265902e-05
J117  = 1.235078e-05
J118  = 1.230335e-05
J119  = 1.230266e-05
J120  = 1.230249e-05
J121  = 1.230241e-05
J122  = 1.230237e-05
J123  = 1.230232e-05
J124  = 1.230229e-05
J125  = 1.230225e-05
J126  = 1.230222e-05
J127  = 1.230219e-05
J128  = 1.230216e-05
J129  = 1.230212e-05
J130  = 1.230209e-05
J131  = 1.230205e-05
J132  = 1.230202e-05
J133  = 1.230198e-05
J134  = 1.230195e-05
J135  = 1.230192e-05
J136  = 1.230188e-05
J137  = 1.230185e-05
J138  = 1.230181e-05
J139  = 1.230177e-05
J140  = 1.230174e-05
J141  = 1.23017e-05
J142  = 1.230167e-05
J143  = 1.230163e-05
J144  = 1.23016e-05
J145  = 1.230156e-05
J146  = 1.230153e-05
J147  = 1.23015e-05
J148  = 1.219456e-05
J149  = 1.2031e-05
J150  = 1.173908e-05
J151  = 1.168112e-05
J152  = 1.167818e-05
J153  = 1.167791e-05
J154  = 1.167614e-05
J155  = 1.167327e-05
J156  = 1.167326e-05
J157  = 1.167325e-05
J158  = 1.167326e-05
J159  = 1.167325e-05
J160  = 1.167325e-05
J161  = 1.167325e-05
J162  = 1.167325e-05
J163  = 1.167324e-05
J164  = 1.167324e-05
J165  = 1.167323e-05
J166  = 1.167323e-05
J167  = 1.167323e-05
J168  = 1.167322e-05
J169  = 1.167322e-05
J170  = 1.167321e-05
J171  = 1.167321e-05
J172  = 1.16732e-05
J173  = 1.16732e-05
J174  = 1.16731e-05
J175  = 1.167153e-05
J176  = 1.166924e-05
J177  = 1.165995e-05
J178  = 1.160479e-05
J179  = 1.157851e-05
J180  = 1.157346e-05
J181  = 1.157341e-05
J182  = 1.157339e-05
J183  = 1.157339e-05
J184  = 1.157339e-05
J185  = 1.157339e-05
J186  = 1.157338e-05
J187  = 1.157339e-05
J188  = 1.157338e-05
J189  = 1.157339e-05
J190  = 1.157338e-05
J191  = 1.157338e-05
J192  = 1.157338e-05
J193  = 1.157338e-05
J194  = 1.157338e-05
J195  = 1.157338e-05
J196  = 1.157338e-05
J197  = 1.157338e-05
J198  = 1.157338e-05
J199  = 1.157338e-05
J200  = 1.157338e-05
J201  = 1.157338e-05
J202  = 1.157337e-05
J203  = 1.157337e-05
J204  = 1.157337e-05
J205  = 1.157337e-05
J206  = 1.157337e-05
J207  = 1.157337e-05
J208  = 1.157336e-05
J209  = 1.157336e-05
J210  = 1.157336e-05
J211  = 1.157336e-05
J212  = 1.157335e-05
J213  = 1.157335e-05
J214  = 1.157334e-05
J215  = 1.157329e-05
J216  = 1.157327e-05
J217  = 1.157325e-05
J218  = 1.157324e-05
J219  = 1.157323e-05
J220  = 1.157317e-05
J221  = 1.157172e-05
J222  = 1.156993e-05
J223  = 1.156714e-05
J224  = 1.154713e-05
J225  = 1.150414e-05
J226  = 1.13909e-05
J227  = 1.120877e-05
J228  = 1.105084e-05
J229  = 1.101878e-05
J230  = 1.101878e-05
J231  = 1.101876e-05
J232  = 1.101876e-05
J233  = 1.101876e-05
J234  = 1.101876e-05
J235  = 1.101875e-05
J236  = 1.101875e-05
J237  = 1.101875e-05
J238  = 1.101875e-05
J239  = 1.101874e-05
J240  = 1.101662e-05
J241  = 1.099478e-05
J242  = 1.097931e-05
J243  = 1.092833e-05
J244  = 1.089297e-05
J245  = 1.076402e-05
J246  = 1.052615e-05
J247  = 9.689548e-06
Total time used: 126.22127027891338
