J0    = 2.086645 
J1    = 1.611608 
J2    = 1.611608 
J3    = 1.500915 
J4    = 0.7418861
J5    = 0.2316168
J6    = 0.09786923
J7    = 0.07318071
J8    = 0.07047926
J9    = 0.05536135
J10   = 0.04484268
J11   = 0.04219348
J12   = 0.03852897
J13   = 0.02761365
J14   = 0.02686162
J15   = 0.02334936
J16   = 0.01742687
J17   = 0.01607251
J18   = 0.01497244
J19   = 0.01490613
J20   = 0.01417618
J21   = 0.01355024
J22   = 0.01190186
J23   = 0.009434827
J24   = 0.008132377
J25   = 0.007973159
J26   = 0.007498616
J27   = 0.007062785
J28   = 0.006173709
J29   = 0.005490185
J30   = 0.005298542
J31   = 0.004320261
J32   = 0.004075461
J33   = 0.003335038
J34   = 0.002814669
J35   = 0.002703565
J36   = 0.002520687
J37   = 0.002325374
J38   = 0.002200713
J39   = 0.002182384
J40   = 0.002182384
J41   = 0.002182384
J42   = 0.002182384
Return: alphak is too small.
Total time used: 58.24  
